Mod;State;Location;Type;X;Y;Z
Vanilla B42;KY;Echo Creek;unemployed;3425;10904;0
Vanilla B42;KY;Echo Creek;unemployed;3510;10880;0
Vanilla B42;KY;Echo Creek;unemployed;3704;10958;0
Vanilla B42;KY;Echo Creek;unemployed;3742;11061;0

Vanilla B42;KY;Ekron;poor_houses;525;9613;0
Vanilla B42;KY;Ekron;poor_houses;438;9646;0
Vanilla B42;KY;Ekron;poor_houses;578;9824;0
Vanilla B42;KY;Ekron;poor_houses;578;9876;0
Vanilla B42;KY;Ekron;poor_houses;609;9764;0
Vanilla B42;KY;Ekron;poor_houses;827;9661;0
Vanilla B42;KY;Ekron;poor_houses;953;9582;0
Vanilla B42;KY;Ekron;poor_houses;954;9618;0
Vanilla B42;KY;Ekron;poor_houses;915;9618;0
Vanilla B42;KY;Ekron;medium_houses;855;9657;0
Vanilla B42;KY;Ekron;medium_houses;1039;9661;0
Vanilla B42;KY;Ekron;medium_houses;578;9843;0
Vanilla B42;KY;Ekron;medium_houses;569;9655;0
Vanilla B42;KY;Ekron;medium_houses;369;9833;0
Vanilla B42;KY;Ekron;medium_houses;457;9744;0
Vanilla B42;KY;Ekron;medium_houses;955;9812;0
Vanilla B42;KY;Ekron;rich_houses;516;9697;0
Vanilla B42;KY;Ekron;rich_houses;280;9811;0
Vanilla B42;KY;Ekron;rich_houses;363;9865;0
Vanilla B42;KY;Ekron;rich_houses;363;9865;0
Vanilla B42;KY;Ekron;rich_houses;320;9869;0
Vanilla B42;KY;Ekron;doctor_houses;425;9792;1
Vanilla B42;KY;Ekron;doctor_houses;428;9792;0
Vanilla B42;KY;Ekron;fire_station;777;9768;1
Vanilla B42;KY;Ekron;fire_station;766;9766;1

Vanilla B42;KY;Fallas Lake;poor_houses;7445;8326;0
Vanilla B42;KY;Fallas Lake;poor_houses;7347;8257;0
Vanilla B42;KY;Fallas Lake;poor_houses;7191;8465;0
Vanilla B42;KY;Fallas Lake;poor_houses;7123;8354;0
Vanilla B42;KY;Fallas Lake;poor_houses;7159;8189;0
Vanilla B42;KY;Fallas Lake;medium_houses;7383;8259;0
Vanilla B42;KY;Fallas Lake;medium_houses;7460;8321;0
Vanilla B42;KY;Fallas Lake;medium_houses;7340;8391;0
Vanilla B42;KY;Fallas Lake;medium_houses;7303;8458;0
Vanilla B42;KY;Fallas Lake;medium_houses;7343;8534;0
Vanilla B42;KY;Fallas Lake;rich_houses;7184;8416;0
Vanilla B42;KY;Fallas Lake;rich_houses;7185;8392;0
Vanilla B42;KY;Fallas Lake;rich_houses;7189;8361;0
Vanilla B42;KY;Fallas Lake;rich_houses;7188;8342;0
Vanilla B42;KY;Fallas Lake;rich_houses;7156;8352;0
Vanilla B42;KY;Fallas Lake;rich_houses;7168;8241;0
Vanilla B42;KY;Fallas Lake;doctor_houses;7287;8388;1
Vanilla B42;KY;Fallas Lake;doctor_houses;7291;8395;0
Vanilla B42;KY;Fallas Lake;police_station;7261;8401;0
Vanilla B42;KY;Fallas Lake;police_station;7258;8389;1
Vanilla B42;KY;Fallas Lake;police_station;7236;8390;0
Vanilla B42;KY;Fallas Lake;police_station;7234;8429;0

Vanilla B42;KY;Irvington;poor_houses;2671;14457;0
Vanilla B42;KY;Irvington;poor_houses;2606;14459;1
Vanilla B42;KY;Irvington;poor_houses;2568;14439;0
Vanilla B42;KY;Irvington;poor_houses;2541;14384;0
Vanilla B42;KY;Irvington;poor_houses;2590;14338;0
Vanilla B42;KY;Irvington;poor_houses;2595;13647;0
Vanilla B42;KY;Irvington;poor_houses;2571;13669;0
Vanilla B42;KY;Irvington;poor_houses;2378;13668;0
Vanilla B42;KY;Irvington;poor_houses;1917;14527;0
Vanilla B42;KY;Irvington;poor_houses;2127;14668;0
Vanilla B42;KY;Irvington;medium_houses;3003;14746;0
Vanilla B42;KY;Irvington;medium_houses;3078;14595;0
Vanilla B42;KY;Irvington;medium_houses;2896;14568;0
Vanilla B42;KY;Irvington;medium_houses;2823;14649;0
Vanilla B42;KY;Irvington;medium_houses;2674;14274;0
Vanilla B42;KY;Irvington;medium_houses;2669;14000;0
Vanilla B42;KY;Irvington;medium_houses;2443;13860;0
Vanilla B42;KY;Irvington;medium_houses;2224;14058;0
Vanilla B42;KY;Irvington;medium_houses;2324;13998;0
Vanilla B42;KY;Irvington;medium_houses;2143;14476;0
Vanilla B42;KY;Irvington;medium_houses;1976;14383;0
Vanilla B42;KY;Irvington;medium_houses;1879;14520;0
Vanilla B42;KY;Irvington;medium_houses;1974;14808;0
Vanilla B42;KY;Irvington;rich_houses;3005;14679;0
Vanilla B42;KY;Irvington;rich_houses;2872;14538;0
Vanilla B42;KY;Irvington;rich_houses;2006;14264;0
Vanilla B42;KY;Irvington;rich_houses;2224;14232;0
Vanilla B42;KY;Irvington;rich_houses;2278;14237;0
Vanilla B42;KY;Irvington;rich_houses;2329;14202;0
Vanilla B42;KY;Irvington;rich_houses;2373;14123;0
Vanilla B42;KY;Irvington;rich_houses;2275;14124;0
Vanilla B42;KY;Irvington;rich_houses;2277;14163;0
Vanilla B42;KY;Irvington;rich_houses;2373;13931;1
Vanilla B42;KY;Irvington;doctor_houses;2372;13934;1
Vanilla B42;KY;Irvington;doctor_houses;2375;13934;0
Vanilla B42;KY;Irvington;police_station;2481;13933;1
Vanilla B42;KY;Irvington;police_station;2486;13936;0
Vanilla B42;KY;Irvington;fire_station;2475;14045;1
Vanilla B42;KY;Irvington;fire_station;2473;14054;1

Vanilla B42;KY;Louisville;poor_houses;12600;1315;6
Vanilla B42;KY;Louisville;poor_houses;12649;1279;6
Vanilla B42;KY;Louisville;poor_houses;12617;1302;4
Vanilla B42;KY;Louisville;poor_houses;12610;1289;2
Vanilla B42;KY;Louisville;poor_houses;12357;1696;2
Vanilla B42;KY;Louisville;poor_houses;12373;1664;1
Vanilla B42;KY;Louisville;poor_houses;12366;1614;1
Vanilla B42;KY;Louisville;poor_houses;12349;1508;1
Vanilla B42;KY;Louisville;poor_houses;13332;3294;0
Vanilla B42;KY;Louisville;poor_houses;13459;3389;0
Vanilla B42;KY;Louisville;poor_houses;12169;1512;0
Vanilla B42;KY;Louisville;poor_houses;12233;1509;0
Vanilla B42;KY;Louisville;poor_houses;12359;1247;0
Vanilla B42;KY;Louisville;poor_houses;12345;1262;1
Vanilla B42;KY;Louisville;poor_houses;12326;2351;0
Vanilla B42;KY;Louisville;poor_houses;12367;2366;0
Vanilla B42;KY;Louisville;poor_houses;12340;2370;1
Vanilla B42;KY;Louisville;poor_houses;12362;2347;2
Vanilla B42;KY;Louisville;poor_houses;12320;2346;3
Vanilla B42;KY;Louisville;poor_houses;12318;2291;3
Vanilla B42;KY;Louisville;poor_houses;12329;2241;2
Vanilla B42;KY;Louisville;poor_houses;12332;2277;1
Vanilla B42;KY;Louisville;poor_houses;13297;2230;0
Vanilla B42;KY;Louisville;poor_houses;13337;2162;0
Vanilla B42;KY;Louisville;poor_houses;13343;1872;0
Vanilla B42;KY;Louisville;poor_houses;13375;1789;0
Vanilla B42;KY;Louisville;medium_houses;12676;1487;16
Vanilla B42;KY;Louisville;medium_houses;12650;1467;16
Vanilla B42;KY;Louisville;medium_houses;12682;1471;14
Vanilla B42;KY;Louisville;medium_houses;12660;1499;12
Vanilla B42;KY;Louisville;medium_houses;12618;1772;2
Vanilla B42;KY;Louisville;medium_houses;12612;1715;2
Vanilla B42;KY;Louisville;medium_houses;12242;1521;1
Vanilla B42;KY;Louisville;medium_houses;12193;1539;1
Vanilla B42;KY;Louisville;medium_houses;13146;1966;1
Vanilla B42;KY;Louisville;medium_houses;13058;1967;1
Vanilla B42;KY;Louisville;medium_houses;13340;1878;1
Vanilla B42;KY;Louisville;medium_houses;13291;1673;1
Vanilla B42;KY;Louisville;medium_houses;13595;2006;0
Vanilla B42;KY;Louisville;medium_houses;13649;2082;0
Vanilla B42;KY;Louisville;medium_houses;13813;2664;0
Vanilla B42;KY;Louisville;medium_houses;13727;3319;0
Vanilla B42;KY;Louisville;medium_houses;12875;3329;0
Vanilla B42;KY;Louisville;medium_houses;12838;3591;0
Vanilla B42;KY;Louisville;medium_houses;12420;3411;0
Vanilla B42;KY;Louisville;medium_houses;12262;1277;1
Vanilla B42;KY;Louisville;medium_houses;12291;1264;0
Vanilla B42;KY;Louisville;medium_houses;12139;2538;0
Vanilla B42;KY;Louisville;medium_houses;12254;2430;0
Vanilla B42;KY;Louisville;medium_houses;12162;1967;0
Vanilla B42;KY;Louisville;medium_houses;12237;1915;0
Vanilla B42;KY;Louisville;medium_houses;13464;2821;0
Vanilla B42;KY;Louisville;medium_houses;13413;2862;0
Vanilla B42;KY;Louisville;medium_houses;14307;2976;0
Vanilla B42;KY;Louisville;medium_houses;14188;2937;0
Vanilla B42;KY;Louisville;medium_houses;14128;2723;0
Vanilla B42;KY;Louisville;medium_houses;14001;2771;0
Vanilla B42;KY;Louisville;medium_houses;13906;3038;0
Vanilla B42;KY;Louisville;medium_houses;13008;3352;0
Vanilla B42;KY;Louisville;medium_houses;12975;3624;0
Vanilla B42;KY;Louisville;medium_houses;12772;3603;0
Vanilla B42;KY;Louisville;rich_houses;12643;1449;22
Vanilla B42;KY;Louisville;rich_houses;12727;1579;17
Vanilla B42;KY;Louisville;rich_houses;13508;1589;1
Vanilla B42;KY;Louisville;rich_houses;13506;1557;1
Vanilla B42;KY;Louisville;rich_houses;13694;2283;0
Vanilla B42;KY;Louisville;rich_houses;13650;2308;0
Vanilla B42;KY;Louisville;rich_houses;14155;2600;0
Vanilla B42;KY;Louisville;rich_houses;14142;2660;0
Vanilla B42;KY;Louisville;rich_houses;12209;3264;0
Vanilla B42;KY;Louisville;rich_houses;12236;3267;0
Vanilla B42;KY;Louisville;rich_houses;12226;3315;0
Vanilla B42;KY;Louisville;rich_houses;12095;3027;0
Vanilla B42;KY;Louisville;rich_houses;12023;3009;0
Vanilla B42;KY;Louisville;rich_houses;12024;2776;0
Vanilla B42;KY;Louisville;rich_houses;12024;2483;0
Vanilla B42;KY;Louisville;rich_houses;12030;2113;0
Vanilla B42;KY;Louisville;rich_houses;13437;2570;0
Vanilla B42;KY;Louisville;rich_houses;13436;2473;0
Vanilla B42;KY;Louisville;rich_houses;13468;2445;0
Vanilla B42;KY;Louisville;doctor_houses;12922;2058;1
Vanilla B42;KY;Louisville;doctor_houses;12936;2057;1
Vanilla B42;KY;Louisville;doctor_houses;12387;3683;3
Vanilla B42;KY;Louisville;doctor_houses;12380;3651;2
Vanilla B42;KY;Louisville;doctor_houses;12397;3606;1
Vanilla B42;KY;Louisville;doctor_houses;12742;3968;0
Vanilla B42;KY;Louisville;doctor_houses;12439;1773;0
Vanilla B42;KY;Louisville;doctor_houses;12424;1767;0
Vanilla B42;KY;Louisville;police_station;13781;2555;0
Vanilla B42;KY;Louisville;police_station;13232;3082;0
Vanilla B42;KY;Louisville;police_station;13208;3092;0
Vanilla B42;KY;Louisville;police_station;13053;2830;0
Vanilla B42;KY;Louisville;police_station;12948;1364;1
Vanilla B42;KY;Louisville;police_station;12949;1379;0
Vanilla B42;KY;Louisville;police_station;12522;1626;0
Vanilla B42;KY;Louisville;police_station;12551;1622;1
Vanilla B42;KY;Louisville;police_station;12463;1684;1
Vanilla B42;KY;Louisville;fire_station;12359;1741;1
Vanilla B42;KY;Louisville;fire_station;13934;3041;1
Vanilla B42;KY;Louisville;fire_station;13722;1776;1

Vanilla B42;KY;March Ridge;poor_houses;10052;12659;0
Vanilla B42;KY;March Ridge;poor_houses;10070;12642;0
Vanilla B42;KY;March Ridge;poor_houses;10089;12614;0
Vanilla B42;KY;March Ridge;poor_houses;10049;12646;1
Vanilla B42;KY;March Ridge;poor_houses;10049;12612;1
Vanilla B42;KY;March Ridge;poor_houses;10113;12616;1
Vanilla B42;KY;March Ridge;poor_houses;10063;12631;2
Vanilla B42;KY;March Ridge;poor_houses;10048;12614;2
Vanilla B42;KY;March Ridge;poor_houses;10088;12611;2
Vanilla B42;KY;March Ridge;poor_houses;10098;12618;3
Vanilla B42;KY;March Ridge;poor_houses;10064;12610;3
Vanilla B42;KY;March Ridge;poor_houses;10059;12645;3
Vanilla B42;KY;March Ridge;medium_houses;10491;12823;0
Vanilla B42;KY;March Ridge;medium_houses;10426;12788;0
Vanilla B42;KY;March Ridge;medium_houses;10472;12758;0
Vanilla B42;KY;March Ridge;medium_houses;10220;12651;0
Vanilla B42;KY;March Ridge;medium_houses;10219;12714;0
Vanilla B42;KY;March Ridge;medium_houses;10219;12793;0
Vanilla B42;KY;March Ridge;medium_houses;9844;12619;0
Vanilla B42;KY;March Ridge;medium_houses;9823;12648;0
Vanilla B42;KY;March Ridge;medium_houses;9849;12722;0
Vanilla B42;KY;March Ridge;medium_houses;9823;12744;0
Vanilla B42;KY;March Ridge;medium_houses;9850;12819;0
Vanilla B42;KY;March Ridge;medium_houses;9823;12959;0
Vanilla B42;KY;March Ridge;medium_houses;9850;13002;0
Vanilla B42;KY;March Ridge;medium_houses;9823;13096;0
Vanilla B42;KY;March Ridge;rich_houses;10466;12723;0
Vanilla B42;KY;March Ridge;rich_houses;10379;12710;0
Vanilla B42;KY;March Ridge;rich_houses;10380;12788;0
Vanilla B42;KY;March Ridge;rich_houses;10380;12666;0
Vanilla B42;KY;March Ridge;rich_houses;10320;12632;0
Vanilla B42;KY;March Ridge;rich_houses;10304;12726;0
Vanilla B42;KY;March Ridge;rich_houses;9958;12677;0
Vanilla B42;KY;March Ridge;rich_houses;9881;12614;0
Vanilla B42;KY;March Ridge;rich_houses;9883;12728;0
Vanilla B42;KY;March Ridge;rich_houses;9944;12813;0
Vanilla B42;KY;March Ridge;rich_houses;9975;12917;0
Vanilla B42;KY;March Ridge;rich_houses;10033;13073;0
Vanilla B42;KY;March Ridge;rich_houses;9940;13098;0
Vanilla B42;KY;March Ridge;rich_houses;9910;13024;0
Vanilla B42;KY;March Ridge;rich_houses;9832;12873;0
Vanilla B42;KY;March Ridge;doctor_houses;10154;12749;0
Vanilla B42;KY;March Ridge;doctor_houses;10163;12750;0

Vanilla B42;KY;Doe Valley;unemployed;6286;6729;0
Vanilla B42;KY;Doe Valley;unemployed;6167;6639;0
Vanilla B42;KY;Doe Valley;unemployed;6059;6725;0
Vanilla B42;KY;Doe Valley;unemployed;5410;6100;0
Vanilla B42;KY;Doe Valley;unemployed;5361;6105;0
Vanilla B42;KY;Doe Valley;unemployed;5329;6089;0
Vanilla B42;KY;Doe Valley;unemployed;5346;6063;0
Vanilla B42;KY;Doe Valley;unemployed;5372;6084;0
Vanilla B42;KY;Doe Valley;unemployed;5374;6037;0
Vanilla B42;KY;Doe Valley;unemployed;5321;6017;0
Vanilla B42;KY;Doe Valley;unemployed;5369;5992;0
Vanilla B42;KY;Doe Valley;unemployed;5321;5961;0
Vanilla B42;KY;Doe Valley;unemployed;5353;5942;0

Vanilla B42;KY;Valley Station;unemployed;13311;5019;0
Vanilla B42;KY;Valley Station;unemployed;13351;5013;0
Vanilla B42;KY;Valley Station;unemployed;13312;4945;0
Vanilla B42;KY;Valley Station;unemployed;13350;4948;0
Vanilla B42;KY;Valley Station;unemployed;13552;5033;0
Vanilla B42;KY;Valley Station;unemployed;13383;5051;0
Vanilla B42;KY;Valley Station;unemployed;14310;5151;0
Vanilla B42;KY;Valley Station;unemployed;14344;5447;0
Vanilla B42;KY;Valley Station;unemployed;14122;5586;0
Vanilla B42;KY;Valley Station;unemployed;14063;5473;0
Vanilla B42;KY;Valley Station;unemployed;14076;5556;0
Vanilla B42;KY;Valley Station;unemployed;13956;5526;0
Vanilla B42;KY;Valley Station;unemployed;13928;5468;0
Vanilla B42;KY;Valley Station;unemployed;13896;5525;0

Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17459;50;0
Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17770;240;0
Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17530;227;0
Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17554;116;0
Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17809;74;0
Project Indiana Expansion B42 DEMO;IN;Charlestown;unemployed;17385;111;0

Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;4260;1880;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;4662;1393;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;4047;1446;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;4178;1166;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;4409;860;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;3997;741;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;3761;678;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;3522;766;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;3341;1073;0
Project Indiana Expansion B42 DEMO;IN;Corydon;unemployed;3359;354;0

Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9423;3417;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9710;3158;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9658;2776;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9832;2690;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9525;2484;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9231;2499;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;9346;2733;0
Project Indiana Expansion B42 DEMO;IN;Elizabeth;unemployed;8756;2310;0

Project Indiana Expansion B42 DEMO;IN;Laconia;unemployed;5835;4455;0
Project Indiana Expansion B42 DEMO;IN;Laconia;unemployed;6026;4333;0
Project Indiana Expansion B42 DEMO;IN;Laconia;unemployed;5839;4215;0
Project Indiana Expansion B42 DEMO;IN;Laconia;unemployed;5753;4332;0
Project Indiana Expansion B42 DEMO;IN;Laconia;unemployed;5837;4312;0
